                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.6209,                 9.2048,                0.69036,                 1.5874,                 1.4886,                0.28917,                    0.5,                0.30657,                0.09198,                      0,                      0,                      0,                      0,                 2.1702,                 11.181,                0.69068,                 2.6645,                 1.8718,             0.00034417,             0.00034417,             0.00034417
                     24,                 1.3594,                 10.058,                0.68014,                 1.4686,                 1.4176,                0.28917,                    0.5,                0.30657,                0.09198,                      0,                      0,                      0,                      0,                 2.1702,                 11.181,                0.69068,                 2.6645,                 1.8718,             0.00035526,             0.00035526,             0.00035526
                     25,                 2.0819,                 10.639,                0.69498,                 1.5606,                 1.8493,                0.27954,                    0.5,                0.29229,                0.10882,                      0,                      0,                      0,                      0,                  2.197,                 11.186,                0.68996,                  2.656,                 1.8939,             0.00036595,             0.00036595,             0.00036595
                     26,                 2.3692,                 9.4778,                0.70629,                 2.3501,                 1.7385,                0.27954,                    0.5,                0.29229,                0.10882,                      0,                      0,                      0,                      0,                  2.197,                 11.186,                0.68996,                  2.656,                 1.8939,             0.00037625,             0.00037625,             0.00037625
                     27,                 1.7146,                 9.2647,                0.70211,                 1.5033,                 1.3738,                0.33177,                0.57143,                0.30599,                0.10588,                      0,                      0,                      0,                      0,                 2.1958,                 11.166,                0.68851,                 2.6614,                 1.9374,             0.00038615,             0.00038615,             0.00038615
                     28,                 2.0133,                 10.286,                0.67653,                 1.7427,                 1.7522,                0.33177,                0.57143,                0.30599,                0.10588,                      0,                      0,                      0,                      0,                 2.1958,                 11.166,                0.68851,                 2.6614,                 1.9374,             0.00039566,             0.00039566,             0.00039566
                     29,                 2.0274,                 10.345,                 0.6885,                 1.6604,                 1.6281,                0.29904,                0.57143,                0.29741,                0.10803,                      0,                      0,                      0,                      0,                  2.169,                 11.124,                0.68702,                 2.5734,                 1.9628,             0.00040477,             0.00040477,             0.00040477
                     30,                 1.8406,                 10.049,                0.70241,                 1.4355,                  1.483,                0.29904,                0.57143,                0.29741,                0.10803,                      0,                      0,                      0,                      0,                  2.169,                 11.124,                0.68702,                 2.5734,                 1.9628,             0.00041348,             0.00041348,             0.00041348
                     31,                 2.2419,                 9.5566,                0.67125,                 1.8742,                 1.5918,                0.19531,                    0.5,                0.26634,                0.10755,                      0,                      0,                      0,                      0,                 2.1133,                 11.083,                 0.6854,                 2.4634,                 1.9647,              0.0004218,              0.0004218,              0.0004218
                     32,                 1.9977,                  10.06,                 0.6952,                 2.0141,                   1.55,                0.19531,                    0.5,                0.26634,                0.10755,                      0,                      0,                      0,                      0,                 2.1133,                 11.083,                 0.6854,                 2.4634,                 1.9647,             0.00042972,             0.00042972,             0.00042972
                     33,                 1.6067,                 9.5922,                0.71368,                 1.5467,                  1.628,                0.20947,                    0.5,                0.26169,                0.10542,                      0,                      0,                      0,                      0,                 2.0294,                 11.029,                0.68261,                   2.34,                 1.9284,             0.00043725,             0.00043725,             0.00043725
                     34,                  1.985,                 9.5337,                0.71853,                 1.9269,                 1.6516,                0.20947,                    0.5,                0.26169,                0.10542,                      0,                      0,                      0,                      0,                 2.0294,                 11.029,                0.68261,                   2.34,                 1.9284,             0.00044438,             0.00044438,             0.00044438
                     35,                 1.4165,                 8.4605,                0.66334,                 1.3004,                 1.2712,                0.21388,                    0.5,                0.26704,                 0.1156,                      0,                      0,                      0,                      0,                 1.9833,                 11.008,                0.68034,                 2.3188,                 1.8779,             0.00045111,             0.00045111,             0.00045111
